#seq,BW_1,BW_2,BW_3,BW_4,BW_5,BW_6,BW_7,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,QCS_1,QCS_2,QCS_3,QCS_4,QCS_5,QCS_6,QCS_7,QCS_8,TH_1,TH_2,TH_3,TH_4,TH_5,TH_6,TH_7,TH_8,TH_9,TH_10
ASV_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,301,211,92,330,289,153,116,230,617
ASV_129,0,0,0,0,0,0,160,121,398,356,215,211,319,498,231,221,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_132,0,0,0,0,0,0,493,115,456,136,195,214,250,427,116,330,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ASV_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,504,83,67,250,104,63,130,482,554
ASV_137,0,0,0,0,0,0,0,243,367,273,310,349,279,462,176,232,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_138,0,0,0,0,0,0,143,129,493,54,231,492,386,336,75,298,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_144,0,0,0,0,0,0,0,6,63,9,12,46,20,11,28,50,39,0,0,0,0,0,0,0,0,213,65,401,215,404,355,235,269,56,47
ASV_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,424,141,61,310,50,100,120,503,677
ASV_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,534,78,90,159,176,98,27,473,709
ASV_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,392,159,61,262,19,105,103,615,532
ASV_153,0,0,0,0,0,424,0,140,438,217,152,183,227,345,191,239,208,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
ASV_154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,390,74,130,139,196,90,74,582,657
ASV_155,0,0,0,0,0,0,0,14,56,31,13,9,8,25,37,35,29,0,0,0,0,0,0,0,0,183,64,466,231,465,318,205,272,54,48
ASV_157,0,0,0,0,0,0,0,167,539,94,156,290,290,532,104,299,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,424,145,82,358,92,75,136,359,537
ASV_160,0,0,0,0,0,0,0,8,71,12,18,20,18,28,17,32,15,0,0,0,0,0,0,0,0,182,26,468,208,366,565,225,228,0,48
ASV_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,113,341,201,83,304,105,92,139,203,666
ASV_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,528,72,84,105,92,66,66,618,571
ASV_168,0,0,0,0,0,0,0,17,63,15,7,19,23,15,10,31,24,0,0,0,0,0,0,0,0,192,30,375,238,385,557,199,217,20,31
ASV_171,0,0,0,0,0,0,0,180,359,198,304,383,207,364,114,280,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,279,66,108,88,82,93,69,832,521
ASV_173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,340,86,82,317,250,109,87,274,552
ASV_175,0,0,0,0,0,0,0,3,69,23,8,12,29,10,10,13,40,0,0,0,0,0,0,0,0,158,29,391,340,501,191,243,291,45,33
ASV_176,0,0,0,0,0,0,0,7,72,19,23,16,9,14,23,8,48,0,0,0,0,0,0,0,0,122,32,379,288,438,332,248,244,71,66
ASV_179,0,0,0,0,0,0,0,192,335,311,300,256,220,420,172,120,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,585,61,58,99,78,75,44,474,654
ASV_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,228,48,88,91,68,121,84,814,610
ASV_183,0,0,0,0,0,0,0,105,560,136,166,313,185,232,182,287,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_184,0,0,0,0,0,0,0,211,376,288,247,192,212,306,133,234,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_185,0,0,0,0,208,343,0,138,411,37,164,173,202,276,65,184,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,589,54,78,95,66,57,33,480,552
ASV_187,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,48,451,48,81,141,88,92,40,511,664
ASV_188,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,319,57,93,108,188,86,39,451,552
ASV_189,0,0,0,0,0,0,0,42,71,65,81,70,84,73,14,23,24,0,0,0,0,0,0,0,0,148,0,138,105,237,390,80,69,17,41
ASV_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,563,22,38,85,93,60,35,365,495
ASV_194,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,396,41,98,162,47,115,66,478,575
ASV_195,0,0,0,0,0,0,0,0,36,0,38,40,30,0,44,0,0,0,0,0,0,0,0,0,0,111,53,207,75,190,289,72,70,50,59
ASV_196,0,0,0,0,0,0,0,15,50,9,5,30,15,7,11,33,35,0,0,0,0,0,0,0,0,156,37,386,287,379,112,194,217,60,25
ASV_199,0,0,0,0,0,0,0,10,56,19,14,7,22,25,16,32,25,0,0,0,0,0,0,0,0,143,22,346,190,335,302,216,296,32,43
ASV_200,0,0,0,0,0,0,0,76,464,76,198,301,234,133,185,292,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_204,0,0,0,0,0,0,0,5,63,3,9,37,7,12,24,50,26,0,0,0,0,0,0,0,0,194,44,211,193,343,352,139,187,28,31
ASV_205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,241,88,57,44,39,134,75,656,472
ASV_206,0,0,0,0,0,0,0,183,338,286,162,146,193,391,192,163,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,291,92,65,67,32,97,54,677,527
ASV_208,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,280,556,0,0,0,0,0,0,0,0,0,0,0,0
ASV_209,0,0,0,0,0,0,0,142,344,63,266,355,221,283,56,269,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_210,0,0,0,0,0,0,0,56,52,91,45,54,30,42,21,9,16,0,0,0,0,0,0,0,0,99,4,121,146,229,383,138,86,20,12
ASV_211,0,0,0,0,0,0,0,0,31,13,0,0,26,47,37,19,9,0,0,0,0,0,0,0,0,72,29,192,94,277,258,93,81,64,87
ASV_213,0,0,0,0,0,0,0,177,346,198,237,243,149,336,138,218,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_214,0,0,0,0,0,0,0,207,294,218,217,264,216,290,119,213,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,425,64,73,136,72,68,40,381,601
ASV_216,0,0,0,0,0,0,0,16,31,22,24,27,25,8,16,28,51,0,0,0,0,0,0,0,0,113,60,273,194,366,180,207,251,33,53
ASV_217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,189,69,70,74,92,129,91,647,413
ASV_218,0,0,0,0,0,0,0,94,439,116,153,238,181,232,232,150,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_219,0,0,0,0,0,0,0,16,59,10,11,13,8,9,18,14,41,0,0,0,0,0,0,0,0,137,25,335,280,403,80,251,222,53,46
ASV_221,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,394,0,0,0,0,3,0,0,0,0,0,0,0
ASV_222,0,0,0,0,0,0,0,7,34,10,24,13,18,3,27,17,25,0,0,0,0,0,0,0,0,163,35,359,163,343,242,155,248,0,43
ASV_224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,190,63,85,63,55,111,68,742,507
